PAC,CID,CRPName,Distid,Total,,
General Electric,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
General Electric,N00009660,"Scalise, Steve",LA01,"$14,500",,
American Optometric Assn,N00025219,"Burgess, Michael",TX26,"$20,000",,
American Optometric Assn,N00046688,"Harshbarger, Diana",TN01,"$10,000",,
American Optometric Assn,N00040829,"Hern, Kevin",OK01,"$10,000",,
American Optometric Assn,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
American Optometric Assn,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
American Optometric Assn,N00033410,"Mullin, Markwayne",OK02,"$10,000",,
American Optometric Assn,N00035691,"Palmer, Gary",AL06,"$10,000",,
American Optometric Assn,N00003473,"Rogers, Hal",KY05,"$10,000",,
American Optometric Assn,N00045167,"Van Duyne, Beth",TX24,"$10,000",,
American Maritime Officers,N00035420,"Bost, Mike",IL12,"$10,000",,
American Maritime Officers,N00025337,"Diaz-Balart, Mario",FL25,"$10,000",,
American Maritime Officers,N00031128,"Gibbs, Bob",OH07,"$10,000",,
American Maritime Officers,N00037269,"Mast, Brian",FL18,"$12,500",,
American Maritime Officers,N00039777,"Rutherford, John",FL04,"$10,000",,
American Maritime Officers,N00009660,"Scalise, Steve",LA01,"$15,000",,
American Maritime Officers,N00029459,"Wittman, Rob",VA01,"$13,500",,
National Cattlemen's Beef Assn,N00003028,"Aderholt, Robert B",AL04,"$10,000",,
National Cattlemen's Beef Assn,N00038285,"Arrington, Jodey",TX19,"$10,000",,
National Cattlemen's Beef Assn,N00045773,"Bentz, Cliff",OR02,"$10,000",,
National Cattlemen's Beef Assn,N00031390,"Hagedorn, Jim",MN01,"$10,000",,
National Cattlemen's Beef Assn,N00040829,"Hern, Kevin",OK01,"$10,000",,
National Cattlemen's Beef Assn,N00046055,"Jackson, Ronny",TX13,"$10,000",,
National Cattlemen's Beef Assn,N00044232,"Laturner, Jake",KS02,"$10,000",,
National Cattlemen's Beef Assn,N00005559,"Lucas, Frank D",OK03,"$10,000",,
National Cattlemen's Beef Assn,N00030743,"Mann, Tracey",KS01,"$10,000",,
National Cattlemen's Beef Assn,N00037034,"Marshall, Roger",KSS1,"$10,000",,
National Cattlemen's Beef Assn,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
National Cattlemen's Beef Assn,N00045421,"Pfluger, August",TX11,"$15,000",,
National Cattlemen's Beef Assn,N00033527,"Rouzer, David",NC07,"$10,000",,
National Cattlemen's Beef Assn,N00027623,"Smith, Adrian",NE03,"$10,000",,
National Cattlemen's Beef Assn,N00029736,"Thompson, Glenn",PA15,"$15,000",,
American Forest & Paper Assn,N00033832,"Rice, Tom",SC07,"$10,000",,
International Assn of Fire Fighters,N00035420,"Bost, Mike",IL12,"$10,000",,
International Assn of Fire Fighters,N00025726,"Cole, Tom",OK04,"$15,000",,
Operating Engineers Union,N00035420,"Bost, Mike",IL12,"$10,000",,
Operating Engineers Union,N00041594,"Burchett, Tim",TN02,"$10,000",,
Operating Engineers Union,N00025337,"Diaz-Balart, Mario",FL25,"$10,000",,
Operating Engineers Union,N00013323,"Graves, Sam",MO06,"$10,000",,
Operating Engineers Union,N00044575,"Jacobs, Chris",NY27,"$15,000",,
Operating Engineers Union,N00043242,"Joyce, John",PA13,"$10,000",,
Operating Engineers Union,N00037269,"Mast, Brian",FL18,"$10,000",,
Operating Engineers Union,N00029416,"Meuser, Dan",PA09,"$10,000",,
Operating Engineers Union,N00041871,"Reschenthaler, Guy",PA14,"$10,000",,
Operating Engineers Union,N00035523,"Stefanik, Elise",NY21,"$10,000",,
Operating Engineers Union,N00029404,"Zeldin, Lee",NY01,"$10,000",,
US Steel,N00035420,"Bost, Mike",IL12,"$10,000",,
US Steel,N00030770,"Crawford, Rick",AR01,"$10,000",,
National Assn of Realtors,N00003028,"Aderholt, Robert B",AL04,"$10,000",,
National Assn of Realtors,N00038285,"Arrington, Jodey",TX19,"$17,500",,
National Assn of Realtors,N00045773,"Bentz, Cliff",OR02,"$10,000",,
National Assn of Realtors,N00044335,"Bishop, Dan",NC09,"$16,000",,
National Assn of Realtors,N00039551,"Budd, Ted",NC13,"$15,000",,
National Assn of Realtors,N00045978,"Cammack, Kat",FL03,"$10,000",,
National Assn of Realtors,N00044245,"Carl, Jerry",AL01,"$10,000",,
National Assn of Realtors,N00046654,"Clyde, Andrew",GA09,"$10,000",,
National Assn of Realtors,N00025726,"Cole, Tom",OK04,"$10,000",,
National Assn of Realtors,N00030770,"Crawford, Rick",AR01,"$20,000",,
National Assn of Realtors,N00038767,"Davidson, Warren",OH08,"$15,000",,
National Assn of Realtors,N00025337,"Diaz-Balart, Mario",FL25,"$10,500",,
National Assn of Realtors,N00034016,"Donalds, Byron",FL19,"$10,000",,
National Assn of Realtors,N00037442,"Dunn, Neal",FL02,"$10,000",,
National Assn of Realtors,N00040712,"Estes, Ron",KS04,"$20,000",,
National Assn of Realtors,N00046760,"Franklin, Scott",FL15,"$10,000",,
National Assn of Realtors,N00042237,"Gooden, Lance",TX05,"$20,000",,
National Assn of Realtors,N00013323,"Graves, Sam",MO06,"$15,000",,
National Assn of Realtors,N00029147,"Harris, Andy",MD01,"$11,000",,
National Assn of Realtors,N00031005,"Hartzler, Vicky",MO04,"$16,000",,
National Assn of Realtors,N00040829,"Hern, Kevin",OK01,"$12,500",,
National Assn of Realtors,N00039953,"Higgins, Clay",LA03,"$15,000",,
National Assn of Realtors,N00033630,"Hudson, Richard",NC08,"$10,000",,
National Assn of Realtors,N00043298,"Hyde-Smith, Cindy",MSS1,"$25,000",,
National Assn of Realtors,N00044575,"Jacobs, Chris",NY27,"$10,000",,
National Assn of Realtors,N00032088,"Johnson, Bill",OH06,"$15,000",,
National Assn of Realtors,N00039106,"Johnson, Mike",LA04,"$16,000",,
National Assn of Realtors,N00044065,"Keller, Fred",PA12,"$11,000",,
National Assn of Realtors,N00031647,"Kelly, Mike",PA16,"$20,000",,
National Assn of Realtors,N00026823,"Kennedy, John",LAS2,"$11,000",,
National Assn of Realtors,N00025445,"Kustoff, David",TN08,"$15,000",,
National Assn of Realtors,N00035347,"Loudermilk, Barry",GA11,"$19,000",,
National Assn of Realtors,N00005559,"Lucas, Frank D",OK03,"$20,000",,
National Assn of Realtors,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
National Assn of Realtors,N00037269,"Mast, Brian",FL18,"$10,000",,
National Assn of Realtors,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
National Assn of Realtors,N00044027,"Murphy, Greg",NC03,"$16,000",,
National Assn of Realtors,N00045377,"Obernolte, Jay",CA08,"$10,000",,
National Assn of Realtors,N00031958,"Palazzo, Steven",MS04,"$10,000",,
National Assn of Realtors,N00035691,"Palmer, Gary",AL06,"$13,000",,
National Assn of Realtors,N00045421,"Pfluger, August",TX11,"$10,000",,
National Assn of Realtors,N00029662,"Posey, Bill",FL08,"$20,000",,
National Assn of Realtors,N00041871,"Reschenthaler, Guy",PA14,"$19,000",,
National Assn of Realtors,N00033832,"Rice, Tom",SC07,"$20,000",,
National Assn of Realtors,N00041599,"Rose, John",TN06,"$20,000",,
National Assn of Realtors,N00009660,"Scalise, Steve",LA01,"$20,000",,
National Assn of Realtors,N00005681,"Sessions, Pete",TX17,"$10,000",,
National Assn of Realtors,N00027623,"Smith, Adrian",NE03,"$19,500",,
National Assn of Realtors,N00035282,"Smith, Jason",MO08,"$20,000",,
National Assn of Realtors,N00035523,"Stefanik, Elise",NY21,"$20,000",,
National Assn of Realtors,N00045307,"Tiffany, Tom",WI07,"$15,000",,
National Assn of Realtors,N00042715,"Timmons, William",SC04,"$10,000",,
National Assn of Realtors,N00042164,"Van Drew, Jeff",NJ02,"$12,500",,
National Assn of Realtors,N00031226,"Walorski, Jackie",IN02,"$16,000",,
National Assn of Realtors,N00030602,"Williams, Roger",TX25,"$20,000",,
National Assn of Realtors,N00029404,"Zeldin, Lee",NY01,"$17,500",,
National Community Pharmacists Assn,N00025219,"Burgess, Michael",TX26,"$12,500",,
National Community Pharmacists Assn,N00035346,"Carter, Buddy",GA01,"$15,000",,
National Community Pharmacists Assn,N00032029,"Griffith, Morgan",VA09,"$20,000",,
National Community Pharmacists Assn,N00046688,"Harshbarger, Diana",TN01,"$10,000",,
National Community Pharmacists Assn,N00037034,"Marshall, Roger",KSS1,"$10,000",,
Independent Community Bankers of America,N00026823,"Kennedy, John",LAS2,"$10,000",,
Independent Community Bankers of America,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
Independent Community Bankers of America,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
HSBC North America,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
Fluor Corp,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
AFLAC Inc,N00033720,"Allen, Richard W",GA12,"$10,000",,
AFLAC Inc,N00035346,"Carter, Buddy",GA01,"$10,000",,
AFLAC Inc,N00030752,"Duncan, Jeff",SC03,"$10,000",,
AFLAC Inc,N00032243,"Hice, Jody",GA10,"$10,000",,
AFLAC Inc,N00035347,"Loudermilk, Barry",GA11,"$10,000",,
AFLAC Inc,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
AFLAC Inc,N00024759,"Rogers, Mike D",AL03,"$15,000",,
AFLAC Inc,N00009660,"Scalise, Steve",LA01,"$20,000",,
AFLAC Inc,N00024809,"Wilson, Joe",SC02,"$12,500",,
National Chicken Council,N00003028,"Aderholt, Robert B",AL04,"$10,000",,
National Chicken Council,N00035346,"Carter, Buddy",GA01,"$10,000",,
National Chicken Council,N00029147,"Harris, Andy",MD01,"$12,500",,
National Chicken Council,N00040829,"Hern, Kevin",OK01,"$10,000",,
National Chicken Council,N00033630,"Hudson, Richard",NC08,"$10,000",,
National Chicken Council,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
National Chicken Council,N00033527,"Rouzer, David",NC07,"$17,500",,
International Paper,N00035346,"Carter, Buddy",GA01,"$12,500",,
International Paper,N00039106,"Johnson, Mike",LA04,"$10,000",,
International Paper,N00025445,"Kustoff, David",TN08,"$10,000",,
International Paper,N00028152,"McCarthy, Kevin",CA23,"$12,500",,
International Paper,N00033832,"Rice, Tom",SC07,"$10,000",,
International Paper,N00009660,"Scalise, Steve",LA01,"$12,500",,
International Paper,N00035523,"Stefanik, Elise",NY21,"$15,000",,
Anheuser-Busch,N00035282,"Smith, Jason",MO08,"$12,500",,
Wells Fargo,N00030026,"Luetkemeyer, Blaine",MO03,"$17,500",,
Wells Fargo,N00028152,"McCarthy, Kevin",CA23,"$12,500",,
American Waterways Operators,N00013323,"Graves, Sam",MO06,"$10,000",,
American Waterways Operators,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
Chevron Corp,N00038285,"Arrington, Jodey",TX19,"$10,000",,
Chevron Corp,N00025095,"Carter, John",TX31,"$10,000",,
Chevron Corp,N00036135,"Graves, Garret",LA06,"$10,000",,
Chevron Corp,N00033630,"Hudson, Richard",NC08,"$10,000",,
Chevron Corp,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
Chevron Corp,N00039106,"Johnson, Mike",LA04,"$10,000",,
Chevron Corp,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
Chevron Corp,N00041956,"Pence, Greg",IN06,"$10,000",,
Chevron Corp,N00009660,"Scalise, Steve",LA01,"$10,000",,
Chevron Corp,N00035523,"Stefanik, Elise",NY21,"$10,000",,
Chevron Corp,N00033932,"Stewart, Chris",UT02,"$10,000",,
Chevron Corp,N00042164,"Van Drew, Jeff",NJ02,"$10,000",,
Air Line Pilots Assn,N00039533,"Bergman, John",MI01,"$15,000",,
Air Line Pilots Assn,N00035420,"Bost, Mike",IL12,"$12,500",,
Air Line Pilots Assn,N00025095,"Carter, John",TX31,"$10,000",,
Air Line Pilots Assn,N00025337,"Diaz-Balart, Mario",FL25,"$10,000",,
Air Line Pilots Assn,N00036135,"Graves, Garret",LA06,"$10,000",,
Air Line Pilots Assn,N00013323,"Graves, Sam",MO06,"$20,000",,
Air Line Pilots Assn,N00039106,"Johnson, Mike",LA04,"$11,000",,
Air Line Pilots Assn,N00042056,"Lesko, Debbie",AZ08,"$10,000",,
Air Line Pilots Assn,N00037034,"Marshall, Roger",KSS1,"$10,000",,
Air Line Pilots Assn,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
PNC Financial Services,N00030026,"Luetkemeyer, Blaine",MO03,"$10,000",,
PNC Financial Services,N00009660,"Scalise, Steve",LA01,"$10,000",,
Consumer Bankers Assn,N00030026,"Luetkemeyer, Blaine",MO03,"$15,000",,
Bristol-Myers Squibb,N00028152,"McCarthy, Kevin",CA23,"$12,500",,
Bristol-Myers Squibb,N00009660,"Scalise, Steve",LA01,"$10,000",,
Halliburton Co,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
Halliburton Co,N00029788,"Lummis, Cynthia",WYS2,"$10,000",,
Halliburton Co,N00009660,"Scalise, Steve",LA01,"$10,000",,
American Financial Services Assn,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
American Financial Services Assn,N00030602,"Williams, Roger",TX25,"$10,000",,
Whirlpool Corp,N00027894,"Jordan, Jim",OH04,"$10,000",,
Whirlpool Corp,N00030676,"Long, Billy",MO07,"$15,000",,
Ball Corp,N00005736,"Babin, Brian",TX36,"$10,000",,
Ball Corp,N00007099,"Calvert, Ken",CA42,"$10,000",,
Ball Corp,N00005559,"Lucas, Frank D",OK03,"$10,000",,
Ball Corp,N00007248,"Nunes, Devin",CA22,"$10,000",,
Ball Corp,N00033932,"Stewart, Chris",UT02,"$13,500",,
Kellogg Co,N00038781,"Smucker, Lloyd",PA11,"$10,000",,
Kellogg Co,N00026368,"Walberg, Tim",MI07,"$10,000",,
Council of Insurance Agents & Brokers,N00038285,"Arrington, Jodey",TX19,"$10,000",,
Council of Insurance Agents & Brokers,N00035420,"Bost, Mike",IL12,"$10,000",,
Council of Insurance Agents & Brokers,N00003689,"Chabot, Steve",OH01,"$10,000",,
Council of Insurance Agents & Brokers,N00040712,"Estes, Ron",KS04,"$15,000",,
Council of Insurance Agents & Brokers,N00030815,"Fleischmann, Chuck",TN03,"$11,000",,
Council of Insurance Agents & Brokers,N00046760,"Franklin, Scott",FL15,"$10,000",,
Council of Insurance Agents & Brokers,N00042237,"Gooden, Lance",TX05,"$10,000",,
Council of Insurance Agents & Brokers,N00046055,"Jackson, Ronny",TX13,"$10,000",,
Council of Insurance Agents & Brokers,N00031647,"Kelly, Mike",PA16,"$15,000",,
Council of Insurance Agents & Brokers,N00025445,"Kustoff, David",TN08,"$10,000",,
Council of Insurance Agents & Brokers,N00030676,"Long, Billy",MO07,"$15,000",,
Council of Insurance Agents & Brokers,N00035347,"Loudermilk, Barry",GA11,"$10,000",,
Council of Insurance Agents & Brokers,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
Council of Insurance Agents & Brokers,N00037034,"Marshall, Roger",KSS1,"$10,000",,
Council of Insurance Agents & Brokers,N00033410,"Mullin, Markwayne",OK02,"$10,000",,
Council of Insurance Agents & Brokers,N00041599,"Rose, John",TN06,"$10,000",,
Council of Insurance Agents & Brokers,N00005681,"Sessions, Pete",TX17,"$10,000",,
Council of Insurance Agents & Brokers,N00035282,"Smith, Jason",MO08,"$15,000",,
Council of Insurance Agents & Brokers,N00042164,"Van Drew, Jeff",NJ02,"$16,500",,
Council of Insurance Agents & Brokers,N00026368,"Walberg, Tim",MI07,"$10,000",,
Council of Insurance Agents & Brokers,N00030602,"Williams, Roger",TX25,"$15,000",,
Council of Insurance Agents & Brokers,N00029404,"Zeldin, Lee",NY01,"$11,500",,
Allstate Insurance,N00039551,"Budd, Ted",NC13,"$10,000",,
Allstate Insurance,N00042237,"Gooden, Lance",TX05,"$10,000",,
Allstate Insurance,N00029404,"Zeldin, Lee",NY01,"$10,000",,
Abbott Laboratories,N00030752,"Duncan, Jeff",SC03,"$10,000",,
Abbott Laboratories,N00033630,"Hudson, Richard",NC08,"$10,000",,
Abbott Laboratories,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
Abbott Laboratories,N00009660,"Scalise, Steve",LA01,"$20,000",,
Abbott Laboratories,N00043290,"Scott, Rick",FLS1,"$10,000",,
Abbott Laboratories,N00031226,"Walorski, Jackie",IN02,"$10,000",,
Williams Companies,N00025726,"Cole, Tom",OK04,"$13,500",,
Williams Companies,N00036135,"Graves, Garret",LA06,"$10,000",,
Williams Companies,N00013323,"Graves, Sam",MO06,"$15,000",,
Williams Companies,N00040829,"Hern, Kevin",OK01,"$16,000",,
Williams Companies,N00033630,"Hudson, Richard",NC08,"$10,000",,
Williams Companies,N00032088,"Johnson, Bill",OH06,"$10,000",,
Williams Companies,N00030676,"Long, Billy",MO07,"$10,000",,
Williams Companies,N00033410,"Mullin, Markwayne",OK02,"$10,000",,
Williams Companies,N00007248,"Nunes, Devin",CA22,"$10,000",,
Williams Companies,N00041871,"Reschenthaler, Guy",PA14,"$10,000",,
Williams Companies,N00009660,"Scalise, Steve",LA01,"$20,000",,
Williams Companies,N00038781,"Smucker, Lloyd",PA11,"$10,000",,
Williams Companies,N00035523,"Stefanik, Elise",NY21,"$20,000",,
American Express,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
American Express,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
MetLife Inc,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
MetLife Inc,N00026368,"Walberg, Tim",MI07,"$10,000",,
MetLife Inc,N00029404,"Zeldin, Lee",NY01,"$10,000",,
National Auto Dealers Assn,N00003028,"Aderholt, Robert B",AL04,"$10,000",,
National Auto Dealers Assn,N00033720,"Allen, Richard W",GA12,"$10,000",,
National Auto Dealers Assn,N00038285,"Arrington, Jodey",TX19,"$10,000",,
National Auto Dealers Assn,N00044335,"Bishop, Dan",NC09,"$15,000",,
National Auto Dealers Assn,N00035420,"Bost, Mike",IL12,"$10,000",,
National Auto Dealers Assn,N00039551,"Budd, Ted",NC13,"$10,000",,
National Auto Dealers Assn,N00041594,"Burchett, Tim",TN02,"$10,000",,
National Auto Dealers Assn,N00025219,"Burgess, Michael",TX26,"$10,000",,
National Auto Dealers Assn,N00007099,"Calvert, Ken",CA42,"$10,000",,
National Auto Dealers Assn,N00035346,"Carter, Buddy",GA01,"$10,000",,
National Auto Dealers Assn,N00025095,"Carter, John",TX31,"$10,000",,
National Auto Dealers Assn,N00042296,"Cline, Ben",VA06,"$10,000",,
National Auto Dealers Assn,N00046654,"Clyde, Andrew",GA09,"$10,000",,
National Auto Dealers Assn,N00025726,"Cole, Tom",OK04,"$10,000",,
National Auto Dealers Assn,N00038767,"Davidson, Warren",OH08,"$10,000",,
National Auto Dealers Assn,N00045434,"Fitzgerald, Scott",WI05,"$10,000",,
National Auto Dealers Assn,N00042237,"Gooden, Lance",TX05,"$10,000",,
National Auto Dealers Assn,N00013323,"Graves, Sam",MO06,"$12,500",,
National Auto Dealers Assn,N00032029,"Griffith, Morgan",VA09,"$10,000",,
National Auto Dealers Assn,N00032243,"Hice, Jody",GA10,"$10,000",,
National Auto Dealers Assn,N00033630,"Hudson, Richard",NC08,"$10,000",,
National Auto Dealers Assn,N00043298,"Hyde-Smith, Cindy",MSS1,"$10,000",,
National Auto Dealers Assn,N00032088,"Johnson, Bill",OH06,"$10,000",,
National Auto Dealers Assn,N00043242,"Joyce, John",PA13,"$10,000",,
National Auto Dealers Assn,N00044065,"Keller, Fred",PA12,"$15,000",,
National Auto Dealers Assn,N00031647,"Kelly, Mike",PA16,"$20,000",,
National Auto Dealers Assn,N00025445,"Kustoff, David",TN08,"$10,000",,
National Auto Dealers Assn,N00033987,"LaMalfa, Doug",CA01,"$20,000",,
National Auto Dealers Assn,N00028133,"Lamborn, Douglas L",CO05,"$10,000",,
National Auto Dealers Assn,N00044232,"Laturner, Jake",KS02,"$10,000",,
National Auto Dealers Assn,N00030676,"Long, Billy",MO07,"$10,000",,
National Auto Dealers Assn,N00035347,"Loudermilk, Barry",GA11,"$10,000",,
National Auto Dealers Assn,N00030026,"Luetkemeyer, Blaine",MO03,"$10,000",,
National Auto Dealers Assn,N00030743,"Mann, Tracey",KS01,"$10,000",,
National Auto Dealers Assn,N00037034,"Marshall, Roger",KSS1,"$10,000",,
National Auto Dealers Assn,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
National Auto Dealers Assn,N00029416,"Meuser, Dan",PA09,"$10,000",,
National Auto Dealers Assn,N00041542,"Miller, Carol",WV03,"$10,000",,
National Auto Dealers Assn,N00033814,"Mooney, Alex",WV02,"$10,000",,
National Auto Dealers Assn,N00044027,"Murphy, Greg",NC03,"$15,000",,
National Auto Dealers Assn,N00046067,"Nehls, Troy",TX22,"$10,000",,
National Auto Dealers Assn,N00027783,"Norman, Ralph",SC05,"$10,000",,
National Auto Dealers Assn,N00034120,"Perry, Scott",PA10,"$10,000",,
National Auto Dealers Assn,N00041871,"Reschenthaler, Guy",PA14,"$10,000",,
National Auto Dealers Assn,N00033832,"Rice, Tom",SC07,"$15,000",,
National Auto Dealers Assn,N00041599,"Rose, John",TN06,"$10,000",,
National Auto Dealers Assn,N00035517,"Rosendale, Matt",MT01,"$10,000",,
National Auto Dealers Assn,N00033527,"Rouzer, David",NC07,"$10,000",,
National Auto Dealers Assn,N00009660,"Scalise, Steve",LA01,"$10,000",,
National Auto Dealers Assn,N00027623,"Smith, Adrian",NE03,"$10,000",,
National Auto Dealers Assn,N00035282,"Smith, Jason",MO08,"$10,000",,
National Auto Dealers Assn,N00038781,"Smucker, Lloyd",PA11,"$10,000",,
National Auto Dealers Assn,N00035523,"Stefanik, Elise",NY21,"$11,000",,
National Auto Dealers Assn,N00045307,"Tiffany, Tom",WI07,"$12,500",,
National Auto Dealers Assn,N00042164,"Van Drew, Jeff",NJ02,"$10,000",,
National Auto Dealers Assn,N00026368,"Walberg, Tim",MI07,"$10,000",,
National Auto Dealers Assn,N00030602,"Williams, Roger",TX25,"$20,000",,
National Auto Dealers Assn,N00024809,"Wilson, Joe",SC02,"$10,000",,
National Auto Dealers Assn,N00029459,"Wittman, Rob",VA01,"$10,000",,
National Auto Dealers Assn,N00042240,"Wright, Ron",TX06,"$10,000",,
California Farm Bureau,N00033987,"LaMalfa, Doug",CA01,"$10,000",,
California Farm Bureau,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
Reynolds American,N00032029,"Griffith, Morgan",VA09,"$15,000",,
Reynolds American,N00033630,"Hudson, Richard",NC08,"$25,000",,
Ford Motor Co,N00028152,"McCarthy, Kevin",CA23,"$10,000",,
Ford Motor Co,N00041542,"Miller, Carol",WV03,"$12,000",,
Salt River Valley Water Users' Assn,N00039293,"Biggs, Andy",AZ05,"$10,000",,
Salt River Valley Water Users' Assn,N00006460,"Schweikert, David",AZ06,"$11,000",,
NiSource Inc,N00032088,"Johnson, Bill",OH06,"$12,500",,
McDonald's Corp,N00026166,"Foxx, Virginia",NC05,"$10,000",,
United Parcel Service,N00035346,"Carter, Buddy",GA01,"$15,000",,
United Parcel Service,N00025726,"Cole, Tom",OK04,"$16,040",,
United Parcel Service,N00030770,"Crawford, Rick",AR01,"$10,000",,
United Parcel Service,N00042237,"Gooden, Lance",TX05,"$10,000",,
United Parcel Service,N00036135,"Graves, Garret",LA06,"$15,000",,
United Parcel Service,N00013323,"Graves, Sam",MO06,"$15,000",,
United Parcel Service,N00031005,"Hartzler, Vicky",MO04,"$14,000",,
United Parcel Service,N00040829,"Hern, Kevin",OK01,"$13,000",,
United Parcel Service,N00033630,"Hudson, Richard",NC08,"$17,500",,
United Parcel Service,N00031647,"Kelly, Mike",PA16,"$10,000",,
United Parcel Service,N00037034,"Marshall, Roger",KSS1,"$13,000",,
United Parcel Service,N00041542,"Miller, Carol",WV03,"$12,500",,
United Parcel Service,N00009660,"Scalise, Steve",LA01,"$20,000",,
United Parcel Service,N00035523,"Stefanik, Elise",NY21,"$20,000",,
United Parcel Service,N00045167,"Van Duyne, Beth",TX24,"$10,000",,
United Parcel Service,N00031226,"Walorski, Jackie",IN02,"$12,000",,
NextEra Energy,N00038285,"Arrington, Jodey",TX19,"$10,000",,
NextEra Energy,N00036135,"Graves, Garret",LA06,"$15,000",,
NextEra Energy,N00037269,"Mast, Brian",FL18,"$10,000",,
NextEra Energy,N00043290,"Scott, Rick",FLS1,"$11,000",,
Wine Institute,N00007248,"Nunes, Devin",CA22,"$12,500",,
Operating Engineers Local 18,N00032088,"Johnson, Bill",OH06,"$10,000",,
American Property Casualty Insurance Assn,N00039551,"Budd, Ted",NC13,"$11,000",,
American Property Casualty Insurance Assn,N00045434,"Fitzgerald, Scott",WI05,"$10,000",,
American Property Casualty Insurance Assn,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
American Property Casualty Insurance Assn,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
American Property Casualty Insurance Assn,N00035517,"Rosendale, Matt",MT01,"$10,000",,
American Property Casualty Insurance Assn,N00009660,"Scalise, Steve",LA01,"$10,000",,
Pacific Life Insurance,N00040712,"Estes, Ron",KS04,"$12,500",,
Pacific Life Insurance,N00031647,"Kelly, Mike",PA16,"$10,000",,
Pacific Life Insurance,N00030026,"Luetkemeyer, Blaine",MO03,"$20,000",,
Pacific Life Insurance,N00007248,"Nunes, Devin",CA22,"$10,000",,
Pacific Life Insurance,N00027623,"Smith, Adrian",NE03,"$10,000",,
FedEx Corp,N00030815,"Fleischmann, Chuck",TN03,"$12,500",,
FedEx Corp,N00036135,"Graves, Garret",LA06,"$12,500",,
FedEx Corp,N00013323,"Graves, Sam",MO06,"$20,000",,
FedEx Corp,N00025445,"Kustoff, David",TN08,"$12,000",,
FedEx Corp,N00037034,"Marshall, Roger",KSS1,"$10,000",,
FedEx Corp,N00028152,"McCarthy, Kevin",CA23,"$17,500",,
FedEx Corp,N00009660,"Scalise, Steve",LA01,"$15,000",,
FedEx Corp,N00035523,"Stefanik, Elise",NY21,"$17,000",,
National Rural Letter Carriers Assn,N00032088,"Johnson, Bill",OH06,"$12,500",,
National Rural Letter Carriers Assn,N00041871,"Reschenthaler, Guy",PA14,"$12,500",,
KeyCorp,N00030026,"Luetkemeyer, Blaine",MO03,"$15,000",,
Truist Financial,N00044335,"Bishop, Dan",NC09,"$10,000",,
Truist Financial,N00039551,"Budd, Ted",NC13,"$10,000",,
Truist Financial,N00030026,"Luetkemeyer, Blaine",MO03,"$10,000",,
Motorola Solutions,N00025095,"Carter, John",TX31,"$10,000",,
CMS Energy,N00039533,"Bergman, John",MI01,"$17,500",,
CMS Energy,N00026368,"Walberg, Tim",MI07,"$20,000",,
National Turkey Federation,N00030770,"Crawford, Rick",AR01,"$12,500",,
National Turkey Federation,N00033630,"Hudson, Richard",NC08,"$10,000",,
National Turkey Federation,N00030676,"Long, Billy",MO07,"$13,000",,
National Turkey Federation,N00033527,"Rouzer, David",NC07,"$15,000",,
CME Group,N00035420,"Bost, Mike",IL12,"$10,000",,
CME Group,N00030026,"Luetkemeyer, Blaine",MO03,"$15,000",,
CME Group,N00028152,"McCarthy, Kevin",CA23,"$15,000",,
CME Group,N00009660,"Scalise, Steve",LA01,"$10,000",,
General Motors,N00037185,"Banks, Jim",IN03,"$13,500",,
General Motors,N00039533,"Bergman, John",MI01,"$10,000",,
General Motors,N00026166,"Foxx, Virginia",NC05,"$10,000",,
General Motors,N00013323,"Graves, Sam",MO06,"$10,000",,
General Motors,N00032088,"Johnson, Bill",OH06,"$10,000",,
General Motors,N00039106,"Johnson, Mike",LA04,"$12,500",,
General Motors,N00030026,"Luetkemeyer, Blaine",MO03,"$13,500",,
General Motors,N00028152,"McCarthy, Kevin",CA23,"$20,000",,
General Motors,N00009660,"Scalise, Steve",LA01,"$20,000",,
